Annee,FORMATION,DATE_DEB_CONTRAT,DATE_FIN_CONTRAT,NOM_ENTREPRISE,CP_ENTREPRISE,FORME_JURIDIQUE_ENTREPRISE,VILLE_ENTREPRISE,Lat,Long,FORMATION_COMPLET,Type
2019-2020,M IDS PIDT 1A,07/10/2019,30/09/2021,ASSOCIATION DEFI,34070,Association,MONTPELLIER,"43,61344091","3,868516579",M1 Intervention et développement social parcours PIDT,Association
2019-2020,M IDS PIDT 2A,01/11/2019,31/10/2020,DRDJSCS PACA,13006,,MARSEILLE 06,"43,28709895","5,381047854",M2 Intervention et développement social parcours PIDT, 
2019-2020,M IDS PIDT 2A,20/08/2018,25/09/2020,DÉPARTEMENT DE LOIRE-ATLANTIQUE,44041,Administration d'Etat,NANTES,"47,08911048","-1,596195347",M2 Intervention et développement social parcours PIDT,Public
2019-2020,M IDS PIDT 2A,01/10/2019,30/09/2020,DISP TOULOUSE SUD,31015,Administration d'Etat,TOULOUSE CEDEX 6,"42,89243792","0,7155166244",M2 Intervention et développement social parcours PIDT,Public
2019-2020,M IDS PIDT 2A,01/10/2019,30/09/2020,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M2 Intervention et développement social parcours PIDT,Public
2019-2020,M IDS PIDT 2A,17/09/2018,30/09/2020,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M2 Intervention et développement social parcours PIDT,Public
2019-2020,M MAVINUM 2A,25/09/2019,30/09/2020,DEPARTEMENT DE LA VENDEE,85000,Fonction publique territoriale,LA ROCHE SUR YON,"46,7104765","-1,461296614","M2 Information-Documentation parcours management et valorisation de l'information de l'information numérique : métiers de la données, de l'information numérique (MAVINUM)", 
2019-2020,M MIASHS 1A,01/10/2018,30/08/2021,ESSILOR INTERNATIONAL,94000,SAS,CRETEIL,"48,78374018","2,454635304",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,01/09/2020,31/08/2021,POLE EMPLOI-DIRECTION DES SYSTÈMES D',34170,EPA,CASTELNAU LE LEZ,"43,63802188","3,91265416",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Public
2019-2020,M MIASHS 1A,01/10/2019,28/08/2021,BOUYGUES IMMOBILIER,13002,SAS,MARSEILLE 02,"43,31269642","5,363649833",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,04/11/2019,28/08/2021,PRICEWATERHOUSECOOPERS ADVISORY,34000,SAS,MONTPELLIER,"43,61344091","3,868516579",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,04/11/2019,28/08/2021,SANOFI CHIMIE,30390,SAS,ARAMON,"43,90419902","4,683020019",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,01/10/2019,31/08/2021,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Public
2019-2020,M MIASHS 1A,02/09/2019,31/08/2021,COMWATT,34960,SAS,MONTPELLIER,#N/A,#N/A,M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,21/10/2019,28/08/2021,SANOFI AVENTIS RECHERCHE DEVELOPPEMENT,34070,SA,MONTPELLIER,"43,61344091","3,868516579",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,31/08/2020,01/09/2021,SANOFI AVENTIS RECHERCHE DEVELOPPEMENT,34070,SA,MONTPELLIER,"43,61344091","3,868516579",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,11/09/2019,31/08/2021,MUTEX,92327,SA,CHATILLON,#N/A,#N/A,M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,09/09/2019,28/08/2021,INETUM,93400,SA CA,ST OUEN SUR SEINE,"48,90980658","2,332570422",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,02/09/2019,31/08/2021,PRIVATESPORTSHOP VENDARGUES,34740,SAS,VENDARGUES,"43,66104575","3,962830331",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,02/09/2019,24/09/2021,CAISSE REGIONALE DU CREDIT AGRICOLE DU,34970,SA,LATTES,"43,56385941","3,902262229",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,01/10/2019,28/08/2021,CREDIT AGRICOLE SA,92120,SA,MONTROUGE,"48,81530322","2,316489214",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,09/09/2019,31/08/2021,SOGETREL,92130,SAS,ISSY LES MOULINEAUX,"48,82347434","2,264498233",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,02/09/2019,31/08/2021,PICKEOS,30820,SAS,CAVEIRAC,"43,83386686","4,267857962",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,01/09/2019,31/08/2021,RECTORAT DE MONTPELLIER,34000,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Public
2019-2020,M MIASHS 1A,01/10/2019,30/09/2021,BNP PARIBAS PERSONAL FINANCE,92300,SA CA,LEVALLOIS PERRET,"48,89507167","2,286882681",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,02/09/2019,31/08/2021,GROUPAMA SUPPORTS ET SERVICES,34170,GIE,CASTELNAU LE LEZ,"43,63802188","3,91265416",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2019-2020,M MIASHS 1A,30/09/2019,31/08/2021,AIRBUS OPERATIONS SAS TOULOUSE,31000,SASU,TOULOUSE,"43,59638143","1,431672934",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2019-2020,M MIASHS 2A,10/09/2018,10/09/2020,MILLIONROADS,84000,SAS,AVIGNON,"43,93524483","4,840715725",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 2A,03/09/2018,30/08/2020,INST NATIONAL RECHERCHE AGRONOMIQUE,34070,EPST,MONTPELLIER,"43,61344091","3,868516579",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2019-2020,M MIASHS 2A,01/10/2018,31/08/2020,BANQUE POPULAIRE DU SUD,66000,,PERPIGNAN,"42,69659541","2,89936954",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2019-2020,M MIASHS 2A,30/09/2019,31/08/2020,AIRBUS OPERATIONS SAS TOULOUSE,31000,SASU,TOULOUSE,"43,59638143","1,431672934",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2019-2020,M MIASHS 2A,17/09/2018,31/08/2020,OLYSTIC,75008,SAS,PARIS 8,"48,87252727","2,31258256",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 2A,03/09/2018,02/09/2020,GROUPAMA SUPPORTS ET SERVICES,34170,GIE,CASTELNAU LE LEZ,"43,63802188","3,91265416",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2019-2020,M MIASHS 2A,03/09/2018,28/08/2020,PRICEWATERHOUSECOOPERS ADVISORY,92200,SAS,NEUILLY SUR SEINE,"48,88537197","2,266425847",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 2A,02/09/2019,25/09/2020,SFR,,,,#N/A,#N/A,M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2019-2020,M MIASHS 2A,02/09/2019,04/09/2020,PRICEWATERHOUSECOOPERS ADVISORY,92200,SAS,NEUILLY SUR SEINE,"48,88537197","2,266425847",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 2A,02/09/2019,31/08/2020,ADDEO,33130,SAS,BEGLES,"44,80160091","-0,5477557684",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 2A,01/10/2018,30/09/2020,AXONAL-BIOSTATEM,92000,SAS,NANTERRE,"48,89607013","2,206713464",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 2A,07/01/2019,28/08/2020,ACELYS INFORMATIQUE,34000,SAS,MONTPELLIER,"43,61344091","3,868516579",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 2A,02/09/2019,31/08/2020,RUBIX DEVELOPPEMENT,69007,,LYON 07,"45,73340984","4,837584957",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2019-2020,M MIASHS 2A,03/09/2018,31/08/2020,ASSOCIATION DES MOYENS ASSURANCES,49906,,ANGERS CEDEX 9,#N/A,#N/A,M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2019-2020,M MIASHS 2A,03/09/2018,28/08/2020,REPORT ONE,81150,SAS,TERSSAC,"43,95321508","2,029954569",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 2A,18/11/2019,28/08/2020,SANOFI PASTEUR,69007,SA,LYON 07,"45,73340984","4,837584957",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 2A,03/09/2018,28/08/2020,EDF SA DIRECTION COMMERCE SUD OUEST,31100,SA,TOULOUSE,"43,59638143","1,431672934",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 2A,01/10/2018,30/09/2020,AIR FRANCE,93290,SA CA,TREMBLAY EN FRANCE,"48,97843041","2,554685015",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 2A,01/10/2019,31/08/2020,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Public
2019-2020,M MIASHS 2A,03/09/2018,31/08/2020,LISI AEROSPACE,75583,,PARIS,#N/A,#N/A,M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2019-2020,M MIASHS 2A,03/09/2018,28/08/2020,BALEA,34270,SAS,SAINT MATHIEU DE TREVIERS,"43,76409293","3,79487939",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 2A,20/08/2018,20/08/2020,GEOMATYS,34934,SAS,MONTPELLIER,#N/A,#N/A,M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MISRH 1A,01/09/2019,30/09/2021,RM AUDIT & EXPERTISE,34070,SARL,MONTPELLIER,"43,61344091","3,868516579",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 1A,09/09/2019,01/10/2021,EDF-CNPE CRUAS-MEYSSE,7350,SA,CRUAS,"44,65664209","4,756588244",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 1A,02/09/2019,01/10/2021,EDF-CNPE CRUAS-MEYSSE,7350,SA,CRUAS,"44,65664209","4,756588244",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 1A,01/10/2019,30/09/2021,O-I MANUFACTURING,34500,SAS,BEZIERS,"43,34758833","3,230767542",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 1A,02/09/2019,17/09/2021,EXPERT HUIS PARIS MONTPELLIER,34080,Société civile de moyens,MONTPELLIER,"43,61344091","3,868516579",M2 Gestion des Ressources Humaines parcours Management international et RH, 
2019-2020,M MISRH 1A,03/09/2019,17/09/2021,UNIVERSITÉ DE MONTPELLIER,34070,Etablissement public,MONTPELLIER,"43,61344091","3,868516579",M2 Gestion des Ressources Humaines parcours Management international et RH,Public
2019-2020,M MISRH 1A,01/09/2019,30/09/2021,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M2 Gestion des Ressources Humaines parcours Management international et RH,Public
2019-2020,M MISRH 1A,02/09/2019,17/09/2021,EDF CNPE BUGEY,1150,SA,LAGNIEU,"45,84696861","5,251660559",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 1A,02/09/2019,30/09/2021,ARCELORMITTAL MEDITERRANEE,13270,SAS,FOS SUR MER,"43,45568121","4,904521339",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 1A,01/10/2019,30/09/2021,POLE EMPLOI-DIRECTION DES SYSTÈMES D',34170,EPA,CASTELNAU LE LEZ,"43,63802188","3,91265416",M2 Gestion des Ressources Humaines parcours Management international et RH,Public
2020-2020,M MISRH 1A,01/07/2020,31/08/2021,SAINT MAMET,30600,SAS,VAUVERT,"43,62584685","4,305970933",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 1A,01/08/2019,30/09/2021,VERDIE AUTOCARS,12000,SAS,RODEZ,"44,3609252","2,476715977",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 1A,02/09/2019,01/10/2021,EDF-CNPE CRUAS-MEYSSE,7350,SA,CRUAS,"44,65664209","4,756588244",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 1A,23/09/2019,24/09/2021,DEPARTEMENT ISERE,38022,Fonction publique territoriale,GRENOBLE,"45,64264374","5,56958624",M2 Gestion des Ressources Humaines parcours Management international et RH, 
2019-2020,M MISRH 2A,03/09/2018,02/10/2020,CLINIQUE SAINT JEAN,34093,SAS,MONTPELLIER CEDEX 05,"43,6690497","3,221016971",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 2A,01/10/2019,18/09/2020,RENAULT,78280,SAS,GUYANCOURT,"48,77307839","2,076052077",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 2A,06/08/2018,02/10/2020,LA POSTE,34391,SA CA,MONTPELLIER CEDEX 5,#N/A,#N/A,M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2018-2020,M MISRH 2A,03/09/2018,02/10/2020,MERLIN GERIN ALES (SHNEIDER),30319,SAS,ALES,"44,03818981","4,343372874",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 2A,02/09/2019,18/09/2020,MANPOWER,30100,SAS,ALES,"44,12500991","4,088285013",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 2A,03/09/2018,02/10/2020,GMCO,34970,SAS,LATTES,"43,56385941","3,902262229",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 2A,10/09/2018,31/08/2020,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M1 Gestion des Ressources Humaines parcours Management international et RH,Public
2019-2020,M MISRH 2A,02/09/2019,30/09/2020,A PLUS ENERGIES,,,,#N/A,#N/A,M1 Gestion des Ressources Humaines parcours Management international et RH, 
2019-2020,M MISRH 2A,27/08/2019,30/09/2020,BPIFRANCE,94700,SA,MAISONS ALFORT,"48,80639233","2,438182489",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 2A,02/09/2019,30/09/2020,CAMERON FRANCE,34500,SAS,BEZIERS,"43,34758833","3,230767542",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 2A,06/09/2018,02/10/2020,EDF-CNPE CRUAS-MEYSSE,7350,SA,CRUAS,"44,65664209","4,756588244",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 2A,22/10/2018,30/09/2020,DUC,30730,SA,SAINT BAUZELY,"43,90727446","4,180545205",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 2A,01/09/2018,31/08/2020,VORTEX,34430,SAS,SAINT JEAN DE VEDAS,"43,57162823","3,83221848",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 2A,06/09/2018,02/10/2020,EDF-CNPE CRUAS-MEYSSE,7350,SA,CRUAS,"44,65664209","4,756588244",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 2A,29/11/2018,02/10/2020,AFPA ENTREPRISES,34000,EPIC,MONTPELLIER,"43,61344091","3,868516579",M1 Gestion des Ressources Humaines parcours Management international et RH,Public
2019-2020,M MISRH 2A,01/09/2018,02/10/2020,TELESPAZIO FRANCE,31023,SAS,TOULOUSE,"43,19003534","0,813417937",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2019-2020,M MISRH 2A,03/09/2018,02/10/2020,R2M EXPERTISE,34080,SASU,MONTPELLIER,"43,61344091","3,868516579",M1 Gestion des Ressources Humaines parcours Management international et RH, 
2019-2020,M MISRH 2A,19/09/2019,18/09/2020,DDTM 34 HERAULT,34070,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579",M1 Gestion des Ressources Humaines parcours Management international et RH,Public
2019-2020,M PTO 2A,02/09/2019,30/09/2020,EI GROUPE,34000,SAS,MONTPELLIER,"43,61344091","3,868516579",M2 Psychologie sociale du travail et des organisations ,Privé
2019-2020,M2 MAVINUM,02/09/2019,25/09/2020,EGIS RAIL,69006,SA,LYON 6E,"45,77285072","4,852079114","M2 Information-Documentation parcours management et valorisation de l'information de l'information numérique : métiers de la données, de l'information numérique (MAVINUM)",Privé
2019-2020,M2 PTO,23/09/2019,25/09/2020,EDF - CNPE DE GOLFECH,82401,SA,VALENCE D'AGEN CEDEX,#N/A,#N/A,M2 Psychologie sociale du travail et des organisations ,Privé
2020-2021,DUT SAP 1A,01/10/2020,16/06/2022,ADMR PAY HERAULTAIS,34080,Association,MONTPELLIER,"43,61344091","3,868516579",DUT carrières sociales option service à la personne 1ere annee,Association
2020-2021,DUT SAP 2A,01/10/2020,16/06/2021,RESIDENCE JULES SEGUELA,11110,,SALLES D AUDE,"43,18764163","3,08927706",DUT carrières sociales option service à la personne 2eme annee, 
2020-2021,DUT SAP 2A,18/09/2020,31/08/2021,FEDERATION ADMR DE L'AUDE,11000,Association,CARCASSONNE,"43,21409862","2,407732717",DUT carrières sociales option service à la personne 2eme annee,Association
2020-2021,DUT SAP 2A,01/09/2019,31/08/2021,ADAPA,1000,,BOURG EN BRESSE,"46,20515204","5,246021255",DUT carrières sociales option service à la personne 2eme annee, 
2020-2021,DUT SAP 2A,03/09/2018,30/08/2020,A2MICILE - AZAE NARBONNE,11200,SARL,LEZIGNAN CORBIERES,"43,24583407","2,770623578",DUT carrières sociales option service à la personne 2eme annee,Privé
2020-2021,LG AES DS,01/09/2020,31/08/2021,LYCEE AGRICOLE VALLEE DE L'HERAULT,34150,Association,GIGNAC,"43,68350114","3,592594376",Licence Administration Economique et Sociale parcours Développement social,Association
2020-2021,LP Animation,08/02/2021,30/09/2021,PLATEFORME SOLIDARITE INTERNATIONALE,66000,Association,PERPIGNAN,"42,69659541","2,89936954","L PROmétiers de l'animation sociale , socio-éducative et socioculturelle",Association
2020-2021,LP Animation,01/10/2020,31/08/2021,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579","L PROmétiers de l'animation sociale , socio-éducative et socioculturelle",Public
2020-2021,LP Animation,21/09/2020,30/09/2021,ESSOR SAVOIRS ET PARTAGE,34080,Association,MONTPELLIER,"43,61344091","3,868516579","L PROmétiers de l'animation sociale , socio-éducative et socioculturelle",Association
2020-2021,LP Animation,19/10/2020,31/07/2021,ASSO AGATHOISE SAUVETAGE SECOURISME-NA,34300,Association,AGDE,"43,30912912","3,484479031","L PROmétiers de l'animation sociale , socio-éducative et socioculturelle",Association
2020-2021,LP Animation,01/09/2020,30/09/2021,PACAP,34190,Association,GANGES,"43,90105236","3,726526304","L PROmétiers de l'animation sociale , socio-éducative et socioculturelle",Association
2020-2021,LP Animation,01/03/2021,31/08/2021,STAND'ART,34430,Association,ST JEAN DE VEDAS,"43,57162823","3,83221848","L PROmétiers de l'animation sociale , socio-éducative et socioculturelle",Association
2020-2021,LP Animation,14/10/2020,30/08/2021,PEPS-PRATIQUE EDUC ET PLAISIR SPORTIFS,34000,Association,MONTPELLIER,"43,61344091","3,868516579","L PROmétiers de l'animation sociale , socio-éducative et socioculturelle",Association
2020-2021,LP Animation,08/04/2021,07/10/2021,,,,,#N/A,#N/A,"L PROmétiers de l'animation sociale , socio-éducative et socioculturelle", 
2020-2021,LP IS APS,04/01/2021,02/07/2021,MAISON DE SANTÉ PROTESTANTE,30000,Association,NIMES,"43,84493839","4,34806797",L PRO intervention sanitaire et sociale parcours gestionnaire en gérontologie,Association
2020-2021,LP IS APS,01/10/2020,31/08/2021,AMARIC APEF,30200,SARL,BAGNOLS SUR CEZE,"44,16224967","4,624773809",L PRO intervention sanitaire et sociale parcours gestionnaire en gérontologie,Privé
2020-2021,LP IS APS,26/10/2020,31/08/2021,DEPARTEMENT DE L'AUDE,11000,Collectivité Territoriale,CARCASSONNE,"43,21409862","2,407732717",L PRO intervention sanitaire et sociale parcours gestionnaire en gérontologie,Public
2020-2021,LP RDN,01/09/2020,31/08/2021,DGDDI - GARDE COTES DOUANE,76620,Administration d'Etat,LE HAVRE,"49,4984525","0,1401537192",Licence professionnelle RDN,Public
2020-2021,LP RDN,01/02/2021,31/08/2021,DGA ESSAIS EN VOL SITE D'ISTRES,13800,Administration d'Etat,ISTRES,"43,55026891","4,951181352",Licence professionnelle RDN,Public
2020-2021,LP RDN,01/09/2020,31/08/2021,ECOUTER LE BRUIT,78300,ERL,POISSY,"48,92353594","2,027155528",Licence professionnelle RDN, 
2020-2021,LP RDN,14/09/2020,31/08/2021,MODELE DEPOSE,66100,SARL,PERPIGNAN,"42,69659541","2,89936954",Licence professionnelle RDN,Privé
2020-2021,LP RDN,31/08/2020,30/07/2021,OCCITANIE LIVRE & LECTURE,31000,Association,TOULOUSE,"43,59638143","1,431672934",Licence professionnelle RDN,Association
2020-2021,LP RDN,01/09/2020,31/08/2021,ECOUTER LE BRUIT,78300,ERL,POISSY,"48,92353594","2,027155528",Licence professionnelle RDN, 
2020-2021,M CNO 1A,16/11/2020,05/09/2022,BITWIPCONSEIL,97300,SAS,CAYENNE,"5,021737428","-52,50125111",M1 Information-Communication parcours Communication numérique et organisations,Privé
2020-2021,M CNO 1A,07/09/2020,06/09/2022,DEPARTEMENT DE L'AUDE,11000,Collectivité Territoriale,CARCASSONNE,"43,21409862","2,407732717",M1 Information-Communication parcours Communication numérique et organisations,Public
2020-2021,M CNO 1A,04/10/2020,03/10/2022,L'ARTISAN CHOCOLATIER,81000,SARL,ALBI,"43,92582136","2,146863286",M1 Information-Communication parcours Communication numérique et organisations,Privé
2020-2021,M CNO 1A,19/10/2020,05/09/2022,MIDIMEDIA,34430,SNC,SAINT JEAN DE VEDAS,"43,57162823","3,83221848",M1 Information-Communication parcours Communication numérique et organisations, 
2020-2021,M CNO 1A,02/11/2020,05/09/2022,GIP CONNECT,34970,SAS,LATTES,"43,56385941","3,902262229",M1 Information-Communication parcours Communication numérique et organisations,Privé
2020-2021,M CNO 1A,01/09/2020,31/08/2022,PREFECTURE DE L'HERAULT,34070,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579",M1 Information-Communication parcours Communication numérique et organisations,Public
2020-2021,M CNO 1A,01/02/2021,05/09/2022,PAHASKA,34830,Association,JACOU,"43,66201923","3,886897482",M1 Information-Communication parcours Communication numérique et organisations,Association
2020-2021,M CNO 1A,01/10/2020,30/09/2022,TECHNILUM,34500,SAS,BEZIERS,"43,34758833","3,230767542",M1 Information-Communication parcours Communication numérique et organisations,Privé
2020-2021,M CNO 1A,02/11/2020,30/09/2022,APELEM,,SAS,GAILLARGUES LE MONTUEUX,#N/A,#N/A,M1 Information-Communication parcours Communication numérique et organisations,Privé
2020-2021,M CNO 1A,01/09/2020,05/09/2022,FONDATION VAN ALLEN,34090,FONDATION,MONTPELLIER,"43,61344091","3,868516579",M1 Information-Communication parcours Communication numérique et organisations, 
2020-2021,M CNO 1A,01/02/2021,30/09/2022,APSARA MEDIA,13300,ERL,SALON DE PROVENCE,"43,64628852","5,068146496",M1 Information-Communication parcours Communication numérique et organisations, 
2020-2021,M CNO 2A,01/09/2020,06/09/2021,WAH,34400,SARL,LUNEL,"43,68204818","4,135664723",M2 Information-Communication parcours Communication numérique et organisations,Privé
2020-2021,M CNO 2A,21/12/2020,26/09/2021,CENTRE MEDICAL INFANTILE,63540,Association,ROMAGNAT,"45,72105836","3,088246719",M2 Information-Communication parcours Communication numérique et organisations,Association
2020-2021,M CNO 2A,15/02/2021,06/09/2021,FESTIVAL RADIO FRANCE OCCITANIE MONTPE,34960,Association,MONTPELLIER CEDEX 2,#N/A,#N/A,M2 Information-Communication parcours Communication numérique et organisations,Association
2020-2021,M CNO 2A,16/10/2019,06/09/2021,PREFECTURE DES PYRENEES ORIENTALES,66100,Administration d'Etat,PERPIGNAN,"42,69659541","2,89936954",M2 Information-Communication parcours Communication numérique et organisations,Public
2020-2021,M CNO 2A,05/01/2021,30/09/2021,LES FEES SPECIALES,34070,SARL,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Communication parcours Communication numérique et organisations,Privé
2020-2021,M CNO 2A,28/12/2020,03/08/2021,SPOTYRIDE,34000,SAS,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Communication parcours Communication numérique et organisations,Privé
2020-2021,M CNO 2A,19/10/2020,06/09/2021,COMMUNE DE LE GRAU DU ROI,30240,Administration d'Etat,LE GRAU DU ROI,"43,50728109","4,166229487",M2 Information-Communication parcours Communication numérique et organisations,Public
2020-2021,M CNO 2A,01/12/2019,30/11/2021,AGENCE REGIONALE DE SANTE OCCITANIE,34070,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Communication parcours Communication numérique et organisations,Public
2020-2021,M COMPAC 1A,07/12/2020,05/09/2022,SCOPIE,34110,Association,FRONTIGNAN,"43,44824589","3,749235224","M1 Information-Communication parcours Communication publique, associative et culturelle",Association
2020-2021,M COMPAC 1A,07/12/2020,05/09/2022,ECO FARMS,75002,SASU,PARIS 02,"48,86790338","2,344107167","M1 Information-Communication parcours Communication publique, associative et culturelle", 
2020-2021,M COMPAC 1A,06/10/2020,05/10/2022,MAIRIE BREC'H,56400,Commune et Commune Nouvelle,BRECH,"47,66770574","-2,990411122","M1 Information-Communication parcours Communication publique, associative et culturelle",Public
2020-2021,M COMPAC 1A,28/09/2020,05/09/2022,MADAME SOPHIE GUIN,34170,Micro-entrepreneur,CASTELNAU LE LEZ,"43,63802188","3,91265416","M1 Information-Communication parcours Communication publique, associative et culturelle", 
2020-2021,M COMPAC 1A,28/09/2020,28/09/2022,TROPISME,34070,Société coopérative d'intérêt collectif,MONTPELLIER,"43,61344091","3,868516579","M1 Information-Communication parcours Communication publique, associative et culturelle", 
