Annee,FORMATION,DATE_DEB_CONTRAT,DATE_FIN_CONTRAT,NOM_ENTREPRISE,CP_ENTREPRISE,VILLE_ENTREPRISE,FORME_JURIDIQUE_ENTREPRISE
2020-2021,M HUMANUM 1A,2020-10-19,2022-09-30,EARLY MAKERS GROUP,75012,PARIS 12,SA
2020-2021,M HUMANUM 1A,2020-10-05,2022-09-30,FRANCE EDUCATION INTERNATIONAL,92310,SEVRES,ADMIN ETAT
2020-2021,M HUMANUM 1A,2020-10-05,2022-09-30,MEDICA FRANCE,75008,PARIS 08,SAS
2020-2021,M HUMANUM 2A,2020-09-01,2021-09-30,UNIVERSITE PAUL VALERY MONTPELLIER 3,34199,MONTPELLIER CEDEX 5,ADMIN ETAT
2020-2021,M HUMANUM 2A,2020-12-01,2021-11-30,FRANCE EDUCATION INTERNATIONAL,92310,SEVRES,ADMIN ETAT
2020-2021,M HUMANUM 2A,2020-10-16,2021-10-15,SERVICE & CO,69006,LYON 06,SAS
2020-2021,M HUMANUM 2A,2020-11-09,2021-09-30,AUNEGE,75008,PARIS 08,ASSOCIATION
2020-2021,M HUMANUM 2A,2020-10-19,2021-09-30,OUEST MEDIAS,44600,SAINT NAZAIRE,SAS
2020-2021,M IDS ESSAP 1A,2020-09-14,2022-09-24,UNAPEI 34,34090,MONTPELLIER,
2020-2021,M IDS ESSAP 1A,2020-09-23,2022-09-30,ESL,48000,MENDE,Entr. unipersonnelle à resp. limitée
2020-2021,M IDS ESSAP 1A,2020-09-14,2022-09-30,LIGUE DE L'ENSEIGNEMENT - F VAUCLUSE,84000,AVIGNON,ASSOCIATION
2020-2021,M IDS ESSAP 1A,2020-10-01,2022-09-30,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,MONTPELLIER,Collectivité Territoriale
2020-2021,M IDS ESSAP 1A,2020-10-01,2022-09-30,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,MONTPELLIER,Collectivité Territoriale
2020-2021,M IDS ESSAP 2A,2020-10-26,2021-09-30,MARCHE PAYSANS,34970,LATTES,ASSOCIATION
2020-2021,M IDS ESSAP 2A,2020-10-01,2021-09-30,INTERMEDIAIRE ADEQUATION,38500,VOIRON,ASSOCIATION
2020-2021,M IDS ESSAP 2A,2020-09-01,2021-09-24,1 CHEZ SOI D ABORD,34000,MONTPELLIER,ASSOCIATION
2020-2021,M IDS ESSAP 2A,2020-09-07,2021-09-24,CROUS DE MONTPELLIER,34070,MONTPELLIER,ADMIN ETAT
2020-2021,M IDS ESSAP 2A,2020-11-01,2021-10-31,CRESS OCCITANIE,31500,TOULOUSE,ASSOCIATION
2020-2021,M IDS ESSAP 2A,2020-09-28,2021-09-24,EDUCATIVE DU MAS CAVAILLAC,30120,MOLIERES CAVAILLAC,ASSOCIATION
2020-2021,M IDS PIDT 1A,2020-11-02,2022-11-01,SERVICE ACCUEIL MINEURS RAIMBAUD,42300,ROANNE,ASSOCIATION
2020-2021,M IDS PIDT 2A,2019-10-01,2021-09-30,BOUILLON CUBE,34380,CAUSSE DE LA SELLE,ASSOCIATION
2020-2021,M IDS PIDT 2A,2020-10-01,2021-09-30,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,MONTPELLIER,Collectivité Territoriale
2020-2021,M IDS PIDT 2A,2019-10-07,2021-09-30,ASSOCIATION DEFI,34070,MONTPELLIER,ASSOCIATION
2020-2021,M IDS PIDT 2A,2020-10-19,2021-10-19,PASSEURS-CULTURES/IMAGES PACIM,34080,MONTPELLIER,ASSOCIATION
2020-2021,M IDS PIDT 2A,2020-10-14,2021-09-24,GROUPE SOS SOLIDARITÉS,75011,PARIS,ASSOCIATION
2020-2021,M IDS PIDT 2A,2020-10-28,2021-10-26,LA MENUISERIE COLLABORATIVE,34070,MONTPELLIER,SARL
2020-2021,M IDS PIDT 2A,2020-11-02,2021-09-30,MISSION LOCALE JEUNE MONTPELLIER,34000,MONTPELLIER,ASSOCIATION
2020-2021,M IDS PIDT 2A,2020-10-01,2021-10-29,LIGUE DE L'ENSEIGNEMENT-FEDE YVELINES,,,ASSOCIATION
2020-2021,M MAVINUM 2A,2019-10-03,2021-09-30,EDF CNPE DE DAMPIERRE,45570,OUZOUER SUR LOIRE,SA
2020-2021,M MIASHS 1A,2020-10-19,2022-08-31,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,MONTPELLIER,Collectivité Territoriale
2020-2021,M MIASHS 1A,2020-08-31,2022-08-31,BALEA,34270,SAINT MATHIEU DE TREVIERS,SAS
2020-2021,M MIASHS 1A,2020-09-01,2022-08-31,SIM AND CURE,34090,MONTPELLIER,SA
2020-2021,M MIASHS 1A,2020-09-01,2022-08-31,AIRBUS HELICOPTERS MARIGNANE,13700,MARIGNANE,SAS
2020-2021,M MIASHS 1A,2020-09-07,2022-08-31,CDC HABITAT,34070,MONTPELLIER,Sté d'économie mixte
2020-2021,M MIASHS 1A,2020-09-07,2022-08-31,8.2 FRANCE,34000,MONTPELLIER,SAS
2020-2021,M MIASHS 1A,2020-09-07,2022-09-30,NETIWAN,34500,BEZIERS,SAS
2020-2021,M MIASHS 1A,2020-09-01,2022-08-31,OPENFIELD MALAKOFF,92240,MALAKOFF,SAS
2020-2021,M MIASHS 1A,2020-09-07,2022-09-09,SOGETREL,92130,ISSY LES MOULINEAUX,SAS
2020-2021,M MIASHS 1A,2020-10-26,2022-08-31,CDC HABITAT,34070,MONTPELLIER,Sté d'économie mixte
2020-2021,M MIASHS 1A,2020-08-31,2022-09-01,TOPNIR SYSTEMS,13857,AIX EN PROVENCE CEDEX 3,SAS
2020-2021,M MIASHS 1A,2020-09-25,2022-09-02,LYTN,34060,MONTPELLIER,SAS
2020-2021,M MIASHS 1A,2020-08-31,2022-09-30,DAMMANN PRESTATIONS INFORMATIQUES,30310,VERGEZE,Sté actions simplifiée unipersonnelle
2020-2021,M MIASHS 1A,2021-07-01,2021-09-02,,,,
2020-2021,M MIASHS 1A,2021-01-04,2022-08-31,AIRBUS OPERATIONS SAS TOULOUSE,31000,TOULOUSE,Sté actions simplifiée unipersonnelle
2020-2021,M MIASHS 1A,2021-06-15,2021-08-31,,,,
2020-2021,M MIASHS 1A,2021-01-04,2022-09-30,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,MONTPELLIER,Collectivité Territoriale
2020-2021,M MIASHS 2A,2018-10-01,2021-08-30,ESSILOR INTERNATIONAL,94000,CRETEIL,SAS
2020-2021,M MIASHS 2A,2020-10-01,2021-09-30,AMADEUS,6410,BIOT,SAS
2020-2021,M MIASHS 2A,2018-10-01,2020-08-31,BANQUE POPULAIRE DU SUD,66000,PERPIGNAN,
2020-2021,M MIASHS 2A,2020-09-01,2021-08-31,POLE EMPLOI-DIRECTION DES SYSTÈMES D',34170,CASTELNAU LE LEZ,EPA
2020-2021,M MIASHS 2A,2020-10-01,2021-08-31,ONAOS,66330,CABESTANY,Sté actions simplifiée unipersonnelle
2020-2021,M MIASHS 2A,2019-11-04,2021-08-28,PRICEWATERHOUSECOOPERS ADVISORY,34000,MONTPELLIER,SAS
2020-2021,M MIASHS 2A,2019-11-04,2021-08-28,SANOFI CHIMIE,30390,ARAMON,SAS
2020-2021,M MIASHS 2A,2019-10-01,2021-08-31,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,MONTPELLIER,Collectivité Territoriale
2020-2021,M MIASHS 2A,2019-09-02,2021-08-31,COMWATT,34960,MONTPELLIER,SAS
2020-2021,M MIASHS 2A,2019-10-21,2021-08-28,SANOFI AVENTIS RECHERCHE DEVELOPPEMENT,34070,MONTPELLIER,SA
2020-2021,M MIASHS 2A,2020-11-30,2021-09-01,PSA AUTOMOBILES SA,78300,POISSY,SA
2020-2021,M MIASHS 2A,2020-08-31,2021-09-01,SANOFI AVENTIS RECHERCHE DEVELOPPEMENT,34070,MONTPELLIER,SA
2020-2021,M MIASHS 2A,2019-09-11,2021-08-31,MUTEX,92327,CHATILLON,SA
2020-2021,M MIASHS 2A,2019-09-09,2021-08-28,INETUM,93400,ST OUEN SUR SEINE,SA CA
2020-2021,M MIASHS 2A,2019-09-02,2021-08-31,PRIVATESPORTSHOP VENDARGUES,34740,VENDARGUES,SAS
2020-2021,M MIASHS 2A,2020-09-01,2021-09-01,AUDRNA,30023,Nîmes cedex 1,ASSOCIATION
2020-2021,M MIASHS 2A,2019-09-02,2021-09-24,CAISSE REGIONALE DU CREDIT AGRICOLE DU,34970,LATTES,Caisse de Crédit Agricole Mutuel
2020-2021,M MIASHS 2A,2019-10-01,2021-08-28,CREDIT AGRICOLE SA,92120,MONTROUGE,SA
2020-2021,M MIASHS 2A,2019-09-09,2021-08-31,SOGETREL,92130,ISSY LES MOULINEAUX,SAS
2020-2021,M MIASHS 2A,2019-09-02,2021-08-31,PICKEOS,30820,CAVEIRAC,SAS
2020-2021,M MIASHS 2A,2019-09-01,2021-08-31,RECTORAT DE MONTPELLIER,34000,MONTPELLIER,ADMIN ETAT
2020-2021,M MIASHS 2A,2019-10-01,2021-09-30,BNP PARIBAS PERSONAL FINANCE,92300,LEVALLOIS PERRET,SA CA
2020-2021,M MIASHS 2A,2019-09-02,2021-08-31,GROUPAMA SUPPORTS ET SERVICES,34170,CASTELNAU LE LEZ,GIE
2020-2021,M MIASHS 2A,2020-09-21,2021-08-31,AXENS,30340,SALINDRES,SA
2020-2021,M MISRH 1A,2020-09-01,2022-09-23,AUGEFI,34300,AGDE,SAS
2020-2021,M MISRH 1A,2020-09-01,2022-09-23,ORANO DS DO CEA,30200,BAGNOLS SUR CEZE,SA
2020-2021,M MISRH 1A,2020-09-14,2022-09-30,EDF-CNPE CRUAS-MEYSSE,7350,CRUAS,SA
2020-2021,M MISRH 1A,2020-09-14,2022-09-30,UNAPEI 34,34090,MONTPELLIER,
2020-2021,M MISRH 1A,2020-09-14,2022-09-23,ORANO NC TRICASTIN,26701,PIERRELATTE,SA
2020-2021,M MISRH 1A,2020-10-05,2022-09-24,PAY JOB,75008,PARIS,SARL
2020-2021,M MISRH 1A,2020-09-01,2022-09-30,SUD SERVICE,34171,CASTELNAU LE LEZ CEDEX,SAS
2020-2021,M MISRH 1A,2020-11-12,2022-09-30,SAUR,30900,NIMES,
2020-2021,M MISRH 1A,2020-09-01,2022-09-23,LA COMPAGNIE DES DESSERTS,11200,LEZIGNAN CORBIERES,SAS
2020-2021,M MISRH 1A,2020-09-01,2022-09-17,PAY JOB,75008,PARIS,SARL
2020-2021,M MISRH 1A,2020-09-14,2022-09-23,AUGEFI BASSIN DE THAU FRONTIGNAN,34110,FRONTIGNAN,SAS
2020-2021,M MISRH 1A,2020-09-01,2022-09-23,GRID SOLUTIONS,34070,MONTPELLIER,SAS
2020-2021,M MISRH 1A,2020-09-01,2022-09-30,RM AUDIT & EXPERTISE,34070,MONTPELLIER,SARL
2020-2021,M MISRH 2A,2019-09-01,2021-09-30,RM AUDIT & EXPERTISE,34070,MONTPELLIER,SARL
2020-2021,M MISRH 2A,2021-03-29,2021-09-30,PEARLS MELIS,94400,VITRY SUR SEINE,Sté actions simplifiée unipersonnelle
2020-2021,M MISRH 2A,2020-09-03,2021-09-24,TAM,34075,MONTPELLIER,SOCIETE ANONYME d'ECONOMIE MIXTE
2020-2021,M MISRH 2A,2020-12-14,2021-09-30,SOFILEC,34070,MONTPELLIER,SAS
2020-2021,M MISRH 2A,2019-09-09,2021-10-01,EDF-CNPE CRUAS-MEYSSE,7350,CRUAS,SA
2020-2021,M MISRH 2A,2020-09-28,2021-09-26,LEROY MERLIN FORBACH,57600,MORSBACH,SA
2020-2021,M MISRH 2A,2020-09-14,2021-09-24,SERPE,,,
2020-2021,M MISRH 2A,2019-09-02,2021-10-01,EDF-CNPE CRUAS-MEYSSE,7350,CRUAS,SA
2020-2021,M MISRH 2A,2019-10-01,2021-09-30,O-I MANUFACTURING,34500,BEZIERS,SAS
2020-2021,M MISRH 2A,2021-01-04,2021-09-30,L ATELIER DE LA CASQUETTE,30900,NIMES,
2020-2021,M MISRH 2A,2019-09-03,2021-09-17,UNIVERSITÉ DE MONTPELLIER,34070,MONTPELLIER,Etablissement public
2020-2021,M MISRH 2A,2020-11-16,2021-09-30,VECTALIA FRANCE,66100,PERPIGNAN,SAS
2020-2021,M MISRH 2A,2020-10-05,2021-04-04,,,,
2020-2021,M MISRH 2A,2019-09-02,2021-09-17,EDF CNPE BUGEY,1150,LAGNIEU,SA
2020-2021,M MISRH 2A,2019-09-02,2021-09-30,ARCELORMITTAL MEDITERRANEE,13270,FOS SUR MER,SAS
2020-2021,M MISRH 2A,2019-10-01,2021-09-30,POLE EMPLOI-DIRECTION DES SYSTÈMES D',34170,CASTELNAU LE LEZ,EPA
2020-2021,M MISRH 2A,2020-09-14,2021-09-30,EGIS,78280,GUYANCOURT,SA
2020-2021,M MISRH 2A,2021-02-01,2021-09-30,SWORD,69370,SAINT DIDIER AU MONT D OR,SAS
2020-2021,M MISRH 2A,2020-07-01,2021-08-31,SAINT MAMET,30600,VAUVERT,SAS
2020-2021,M MISRH 2A,2019-08-01,2021-09-30,VERDIE AUTOCARS,12000,RODEZ,SAS
2020-2021,M MISRH 2A,2020-09-01,2021-09-24,APEX ENERGIES,34070,MONTPELLIER,SAS
2020-2021,M MISRH 2A,2020-09-28,2021-09-30,MAIRIE DE MARVEJOLS,48100,MARVEJOLS,ADMIN ETAT
2020-2021,M MISRH 2A,2021-01-25,2021-09-30,FIDUCIAL SECURITE,92400,COURBEVOIE,
2020-2021,M MISRH 2A,2019-09-02,2021-10-01,EDF-CNPE CRUAS-MEYSSE,7350,CRUAS,SA
2020-2021,M MISRH 2A,2020-12-16,2021-09-24,ALAIN DUCASSE FORMATION,92360,MEUDON,SARL
2020-2021,M MISRH 2A,2020-10-19,2021-09-30,HINFACT,31400,TOULOUSE,SAS
2020-2021,M MISRH 2A,2020-09-28,2021-09-27,BUSINESS & DECISION INTERACTIVE EOLAS,38000,GRENOBLE,SARL
2020-2021,M MPCA 2A,2021-02-18,2021-08-31,LES FEES SPECIALES,34070,MONTPELLIER,SARL
2020-2021,M MPCA 2A,2020-09-01,2021-09-01,OOOLALA,26500,BOURG LES VALENCE,SARL
2020-2021,M PTO 2A,2020-11-23,2021-09-30,LA POSTE CENTRE FINANCIER,34000,MONTPELLIER,SA CA
2020-2021,M PTO 2A,2020-09-01,2021-09-30,CEA CADARACHE,13115,ST PAUL LES DURANCE,EPIC
2020-2021,M PTO 2A,2020-08-17,2021-09-30,EURHEKA,34500,BEZIERS,SARL
